Resident,Rotation,Block
Chang Wang,Renal,Block1
Chang Wang,Renal,Block5
Chang Wang,Lap,Block3
Chang Wang,Lap,Block4
Chang Wang,CR,Block2
Sinan Aksu,Renal,Block4
Sinan Aksu,Lap,Block2
Sinan Aksu,Lap,Block3
Sinan Aksu,Trauma,Block1
Sinan Aksu,Breast,Block5
Hangyi Li,Renal,Block1
Hangyi Li,CR,Block3
Hangyi Li,CR,Block5
Hangyi Li,Trauma,Block2
Hangyi Li,Breast,Block4
Shutian Li,Renal,Block3
Shutian Li,Renal,Block5
Shutian Li,Lap,Block2
Shutian Li,Trauma,Block4
Shutian Li,Breast,Block1
Tim Tsang,Renal,Block2
Tim Tsang,Lap,Block1
Tim Tsang,CR,Block4
Tim Tsang,Trauma,Block3
Tim Tsang,Trauma,Block5
Rick,Renal,Block2
Rick,Renal,Block4
Rick,Trauma,Block1
Rick,Breast,Block3
Rick,Breast,Block5
Morty,Renal,Block3
Morty,Lap,Block4
Morty,Lap,Block5
Morty,CR,Block1
Morty,Breast,Block2
